@relation 'data/M_multi_metrics_JDT.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-15,17-21,23-30,32-44,46-61'

@attribute ck_oo_noc numeric
@attribute WCHU_noc numeric
@attribute LDHH_noc numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute class {buggy,clean}

@data
0,0,0,23,clean
0,0,0,1,clean
0,0,0,1,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,1,clean
0,0,0,0,clean
0,0,0,2,clean
0,0,0,0,clean
0,0,0,1,clean
1,1.01,0.000292,0,clean
0,0,0,0,clean
0,0,0,3,clean
0,0,0,12,clean
1,0,0,1,clean
0,0,0,3,clean
2,0,0,0,clean
3,0,0,0,clean
0,0,0,0,clean
1,0,0,0,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,1,clean
0,0,0,1,clean
0,0,0,0,clean
2,0,0,0,clean
3,0,0,4,clean
0,0,0,3,clean
0,0,0,0,clean
0,0,0,5,clean
0,0,0,14,clean
1,0,0,3,clean
0,0,0,4,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,3,clean
1,0,0,0,clean
3,0,0,0,clean
0,0,0,4,clean
0,0,0,2,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,1,clean
0,0,0,0,clean
0,0,0,2,clean
0,0,0,0,clean
0,0,0,1,clean
0,0,0,3,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,3,clean
1,1.01,0.01184,0,clean
0,0,0,1,clean
0,0,0,1,clean
0,0,0,0,clean
0,0,0,0,clean
3,0,0,1,clean
0,0,0,2,clean
4,0,0,0,clean
0,0,0,0,clean
0,0,0,3,clean
0,0,0,3,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,3,clean
2,0,0,0,clean
2,1.01,0.001667,0,clean
0,0,0,1,clean
0,0,0,14,clean
0,0,0,5,clean
0,0,0,0,clean
0,0,0,4,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,0,buggy
0,0,0,0,buggy
0,0,0,0,buggy
1,0,0,0,buggy
0,0,0,1,buggy
0,0,0,0,buggy
1,1.01,0.000564,2,buggy
0,0,0,0,buggy
1,0,0,1,buggy
0,0,0,1,buggy
0,0,0,0,buggy
1,0,0,2,buggy
2,1.01,0.01184,0,buggy
1,1.01,0.01184,0,buggy
3,0,0,0,buggy
0,0,0,5,buggy
2,2.02,0.01184,1,buggy
1,0,0,0,buggy
0,0,0,1,buggy
0,0,0,17,buggy
0,0,0,1,buggy
